,Cross_val_scores,Accuracy_scores,Error_scores,F1_scores,FPR_scores,Kappa_scores,MCC_scores,PPV_scores,Sensitivity_scores,Specificity_scores,Threat_scores,Balanced_accuracy_scores
HGSORF,0.9794543939286475,0.9833882830332235,0.016611716966776546,0.9833872408956856,0.016639271109881858,0.966774065666333,0.9668427644131367,0.9834560787983633,0.9833882830332235,0.9833607288901182,0.967315942949083,0.9833745059616708
GNB,0.8812916105161122,0.8735734212528532,0.1264265787471468,0.8735264770454156,0.12633022285757473,0.747191624336021,0.7478950200886859,0.8743021585639977,0.8735734212528532,0.8736697771424253,0.7754744283723363,0.8736215991976393
LDA,0.9223287999148875,0.9189703271620594,0.0810296728379406,0.918464956988475,0.08138043375136883,0.8378240547433131,0.8478111791779401,0.9289601571075431,0.9189703271620594,0.9186195662486312,0.8492409513436394,0.9187949467053453
KNN,0.8827047131002198,0.8832107532335784,0.11678924676642155,0.8817156761449805,0.11626778285738178,0.7666611301071147,0.7876445458536395,0.9046031255681474,0.8832107532335784,0.8837322171426183,0.7887918522330617,0.8834714851880984
GBC,0.9327644691112844,0.9320314481359371,0.06796855186406292,0.9317976555920701,0.06822699665689518,0.8639901465563948,0.8695263832160149,0.9375503488193114,0.9320314481359371,0.9317730033431049,0.8722995140968381,0.931902225739521
LR,0.9262964276426224,0.9223941161552117,0.07760588384478828,0.9220710440994051,0.07789115854099765,0.8446968919311589,0.8513037148115564,0.928982586593195,0.9223941161552117,0.9221088414590024,0.8554121606473721,0.922251478807107
